2001,ECG Machine,5000.00,10,Cardiology
2002,Orthopedic Surgery Kit,8000.00,5,Orthopedics
2003,Endoscopy Machine,12000.00,8,Gastroenterology
2004,Ophthalmic Laser,15000.00,3,Ophthalmology
2005,Pediatric Ventilator,10000.00,6,Pediatrics
2006,Dermatology Laser,20000.00,4,Dermatology
2007,Cardiac Catheterization Lab,25000.00,2,Cardiology
2008,Orthopedic Drill,7000.00,7,Orthopedics
2009,Pediatric ICU Bed,3000.00,15,Pediatrics
2010,Colonoscope,18000.00,3,Gastroenterology
2011,Ophthalmic Microscope,16000.00,4,Ophthalmology
2012,Dermatology Cryotherapy Unit,12000.00,6,Dermatology
2013,Orthopedic Cast Cutter,5000.00,10,Orthopedics
2014,Infant Incubator,8000.00,8,Pediatrics
2015,Gastroscopy System,15000.00,5,Gastroenterology
2016,Cardiac MRI Machine,30000.00,2,Cardiology
2017,Dermatology Electrosurgical Unit,10000.00,7,Dermatology
2018,Ophthalmic Autorefractor,6000.00,12,Ophthalmology
2019,Pediatric Nebulizer,2000.00,20,Pediatrics
2020,Orthopedic Traction Table,10000.00,5,Orthopedics
2021,Cardiology meter,5600.00,46,Cardiology
